destination,country,continent,city,place_name,place_variant,avg cost (usd/day),avg_temp_year,hiking_score,beach_score,nightlife_score,culture_score,food_score,adventure_score,nature_score,safety_score,accommodation_type,terrain_type,travel_style
Kenya,Kenya,Africa,Mombasa,Old Town,day-trip zone,140.28,20.9,4.0,3.0,6.0,10.0,9.0,4.0,5.0,7.0,Standard Hotel,Urban-Heritage,Culture
USA,USA,North America,Yellowstone,Family Nature Trip,local experience,158.89,13.0,5.0,7.0,3.0,8.0,8.0,5.0,4.0,8.0,Standard Hotel,Urban-Heritage,Family
Spain,Spain,Europe,Madrid,High-end City Stay,day-trip zone,271.88,15.9,5.0,8.0,7.0,8.0,9.0,4.0,7.0,9.0,Resort/Apartment,Coastal,Luxury
Brazil,Brazil,South America,Florianopolis,Family Beaches,nearby district,102.79,25.8,5.0,8.0,3.0,7.0,5.0,5.0,7.0,7.0,Standard Hotel,Coastal,Family
Mexico,Mexico,North America,Riviera Maya,All Inclusive Hotels,nearby district,270.55,,4.0,8.0,7.0,7.0,9.0,4.0,6.0,,Resort/Apartment,Coastal,Luxury
Argentina,Argentina,South America,Bariloche,Lake Resorts,day-trip zone,230.52,11.8,4.0,8.0,8.0,7.0,7.0,6.0,7.0,7.0,Resort/Apartment,Coastal,Luxury
Greece,Greece,Europe,Rhodes,Island Beaches,local experience,193.89,17.6,5.0,9.0,5.0,3.0,6.0,6.0,7.0,7.0,Resort/Apartment,Coastal,Relaxation
India,India,Asia,Agra,Monument Family Tours,main area,138.56,23.0,5.0,7.0,3.0,9.0,7.0,5.0,6.0,6.0,Standard Hotel,Urban-Heritage,Family
Morocco,Morocco,Africa,Essaouira,Affordable Coast,local experience,98.04,22.1,5.0,8.0,5.0,5.0,7.0,6.0,4.0,7.0,Guesthouse/Hostel,Coastal,Budget
China,China,Asia,Beijing,Palace Hotels,day-trip zone,299.46,13.7,4.0,6.0,7.0,8.0,9.0,4.0,7.0,7.0,Resort/Apartment,Coastal,Luxury
China,China,Asia,Shanghai,Bund Luxury Hotels,main area,310.08,14.4,3.0,8.0,7.0,,8.0,5.0,7.0,10.0,Resort/Apartment,Coastal,Luxury
Argentina,Argentina,South America,Mendoza,Aconcagua Foothills,day-trip zone,107.4,16.0,8.0,4.0,4.0,4.0,5.0,9.0,8.0,5.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Australia,Australia,Oceania,Northern Territory,Uluru Desert Routes,local experience,159.9,21.6,8.0,4.0,5.0,6.0,8.0,9.0,9.0,7.0,Guesthouse/Hostel,Mountain-Nature,Adventure
France,France,Europe,Paris,Palace Hotels,main area,221.06,16.5,3.0,8.0,9.0,8.0,9.0,4.0,,8.0,Resort/Apartment,Coastal,Luxury
Morocco,Morocco,Africa,Marrakech,Riad Spa Stay,local experience,149.77,25.1,5.0,9.0,5.0,5.0,7.0,5.0,7.0,8.0,Resort/Apartment,Coastal,Relaxation
Kenya,Kenya,Africa,Maasai Mara,Safari Drives,main area,119.51,22.4,9.0,6.0,5.0,6.0,8.0,8.0,,6.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Japan,Japan,Asia,Nara,Ancient Shrines,nearby district,123.38,13.0,5.0,4.0,5.0,8.0,8.0,3.0,6.0,8.0,Standard Hotel,Urban-Heritage,Culture
Canada,Canada,North America,Toronto,Zoo and Museums,main area,181.2,10.8,5.0,4.0,,8.0,7.0,5.0,6.0,9.0,Standard Hotel,Urban-Heritage,Family
Morocco,Morocco,Africa,Marrakech,Riad Spa Stay,local experience,152.27,27.6,4.0,10.0,5.0,5.0,6.0,7.0,8.0,8.0,Resort/Apartment,Coastal,Relaxation
Peru,Peru,South America,Arequipa,Colonial Center,day-trip zone,126.87,17.4,3.0,5.0,6.0,10.0,6.0,5.0,6.0,7.0,Standard Hotel,Urban-Heritage,Culture
Japan,Japan,Asia,Osaka,Affordable Food Districts,main area,76.39,13.7,5.0,5.0,6.0,5.0,7.0,6.0,7.0,9.0,Guesthouse/Hostel,Urban-Heritage,Budget
Australia,Australia,Oceania,Cairns,Reef Family Tours,day-trip zone,173.8,20.6,5.0,8.0,3.0,7.0,6.0,4.0,6.0,9.0,Standard Hotel,Coastal,Family
Peru,Peru,South America,Huaraz,Budget Trekking Base,local experience,92.26,21.1,6.0,6.0,6.0,6.0,7.0,6.0,8.0,7.0,Guesthouse/Hostel,Mountain-Nature,Budget
Japan,Japan,Asia,Nara,Deer Park,day-trip zone,128.95,16.1,6.0,6.0,4.0,7.0,8.0,6.0,8.0,10.0,Standard Hotel,Mountain-Nature,Family
Argentina,Argentina,South America,Buenos Aires,Palermo Hostel Area,local experience,77.75,18.3,4.0,5.0,6.0,7.0,9.0,6.0,7.0,7.0,Guesthouse/Hostel,Urban-Heritage,Budget
Greece,Greece,Europe,Naxos,Calm Family Coast,local experience,191.7,21.2,6.0,8.0,4.0,8.0,8.0,6.0,7.0,9.0,Standard Hotel,Coastal,Family
Australia,Australia,Oceania,Canberra,National Institutions,local experience,168.77,23.4,3.0,4.0,5.0,8.0,8.0,4.0,5.0,9.0,Standard Hotel,Urban-Heritage,Culture
Germany,Germany,Europe,Cologne,Cathedral Quarter,local experience,99.98,12.0,4.0,3.0,5.0,8.0,8.0,5.0,5.0,8.0,Standard Hotel,Urban-Heritage,Culture
Brazil,Brazil,South America,Curitiba,Parks and Museums,local experience,89.35,23.7,6.0,7.0,3.0,8.0,7.0,5.0,8.0,6.0,Standard Hotel,Urban-Heritage,Family
Spain,Spain,Europe,Seville,Alcazar and Flamenco,day-trip zone,161.48,18.5,4.0,4.0,7.0,9.0,8.0,4.0,4.0,8.0,Standard Hotel,Urban-Heritage,Culture
Germany,Germany,Europe,Hamburg,Budget Harbor Stay,day-trip zone,76.8,8.7,5.0,,6.0,6.0,7.0,4.0,5.0,8.0,Guesthouse/Hostel,Urban-Heritage,Budget
Italy,Italy,Europe,Tuscany,Countryside Stay,nearby district,173.96,13.6,6.0,8.0,5.0,5.0,6.0,5.0,9.0,9.0,Resort/Apartment,Coastal,Relaxation
Brazil,Brazil,South America,Sao Paulo,Fine Dining Hotels,day-trip zone,189.88,25.3,4.0,7.0,7.0,7.0,8.0,6.0,7.0,7.0,Resort/Apartment,Coastal,Luxury
Spain,Spain,Europe,Costa del Sol,Resort Coast,nearby district,154.57,18.5,4.0,10.0,,3.0,7.0,4.0,7.0,8.0,Resort/Apartment,Coastal,Relaxation
Japan,Japan,Asia,Nara,Ancient Shrines,nearby district,125.43,14.8,4.0,,6.0,9.0,9.0,5.0,5.0,9.0,Standard Hotel,Urban-Heritage,Culture
Brazil,Brazil,South America,Amazonas,Amazon Jungle Lodges,day-trip zone,101.44,23.5,9.0,4.0,4.0,5.0,7.0,9.0,9.0,6.0,Guesthouse/Hostel,Mountain-Nature,Adventure
France,France,Europe,Corsica,GR20 Sections,day-trip zone,106.29,12.3,9.0,5.0,5.0,6.0,6.0,8.0,9.0,7.0,Guesthouse/Hostel,Mountain-Nature,Adventure
China,China,Asia,Dali,Lake Retreat,local experience,192.86,16.7,6.0,9.0,5.0,,6.0,5.0,6.0,7.0,Resort/Apartment,Coastal,Relaxation
South Africa,South Africa,Africa,Kruger,Family Safari,day-trip zone,167.84,20.0,5.0,7.0,4.0,6.0,8.0,6.0,7.0,5.0,Standard Hotel,Urban-Heritage,Family
Mexico,Mexico,North America,Puebla,Colonial Center,local experience,145.89,21.6,5.0,3.0,6.0,10.0,9.0,4.0,5.0,6.0,Standard Hotel,Urban-Heritage,Culture
USA,USA,North America,New Orleans,Affordable Music Stay,nearby district,89.36,11.5,5.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,Guesthouse/Hostel,Urban-Heritage,Budget
Spain,Spain,Europe,Canary Islands,Year-round Sun,local experience,164.94,20.6,4.0,8.0,5.0,6.0,7.0,4.0,8.0,7.0,Resort/Apartment,Coastal,Relaxation
Kenya,Kenya,Africa,Maasai Mara,Family Safari,nearby district,160.64,27.3,5.0,6.0,2.0,7.0,7.0,6.0,6.0,,Standard Hotel,Urban-Heritage,Family
Egypt,Egypt,Africa,Red Sea,Diving Trips,local experience,114.35,24.7,8.0,8.0,5.0,6.0,6.0,8.0,10.0,7.0,Guesthouse/Hostel,Coastal,Adventure
Spain,Spain,Europe,Valencia,Science City,nearby district,173.04,19.0,4.0,9.0,3.0,8.0,7.0,5.0,7.0,8.0,Standard Hotel,Urban-Heritage,Family
Italy,Italy,Europe,Tuscany,Countryside Stay,nearby district,192.11,14.8,4.0,8.0,4.0,6.0,8.0,4.0,7.0,8.0,Resort/Apartment,Coastal,Relaxation
Kenya,Kenya,Africa,Nairobi,High-end Hotels,day-trip zone,226.46,20.6,4.0,9.0,8.0,6.0,9.0,4.0,6.0,7.0,Resort/Apartment,Coastal,Luxury
Mexico,Mexico,North America,Oaxaca,Budget Food Stay,main area,97.7,24.1,5.0,4.0,5.0,7.0,6.0,6.0,6.0,6.0,Guesthouse/Hostel,Urban-Heritage,Budget
New Zealand,New Zealand,Oceania,Wellington,Budget City Hostels,main area,94.15,18.7,6.0,4.0,6.0,8.0,8.0,5.0,6.0,8.0,Guesthouse/Hostel,Urban-Heritage,Budget
New Zealand,New Zealand,Oceania,Rotorua,Maori Culture,nearby district,151.86,13.6,5.0,2.0,6.0,9.0,7.0,4.0,4.0,9.0,Standard Hotel,Urban-Heritage,Culture
New Zealand,New Zealand,Oceania,Rotorua,Budget Motels,day-trip zone,87.83,,5.0,5.0,7.0,6.0,8.0,6.0,5.0,8.0,Guesthouse/Hostel,Urban-Heritage,Budget
India,India,Asia,Delhi,Historic Monuments,local experience,119.79,25.7,5.0,3.0,6.0,10.0,7.0,4.0,5.0,6.0,Standard Hotel,Urban-Heritage,Culture
USA,USA,North America,San Diego,Zoo and Beaches,nearby district,168.1,14.1,4.0,8.0,4.0,6.0,7.0,5.0,8.0,6.0,Standard Hotel,Coastal,Family
Canada,Canada,North America,Muskoka,Lake Cottages,day-trip zone,172.19,6.9,4.0,7.0,4.0,5.0,6.0,5.0,8.0,8.0,Resort/Apartment,Coastal,Relaxation
New Zealand,New Zealand,Oceania,Bay of Islands,Coastal Retreat,main area,153.5,14.1,6.0,10.0,6.0,5.0,7.0,5.0,6.0,9.0,Resort/Apartment,Coastal,Relaxation
France,France,Europe,Bordeaux,Wine Country,local experience,131.23,18.2,4.0,7.0,5.0,7.0,8.0,6.0,6.0,8.0,Resort/Apartment,Coastal,Relaxation
Canada,Canada,North America,Jasper,Glacier Hikes,nearby district,149.14,7.3,,4.0,4.0,6.0,7.0,8.0,8.0,7.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Germany,Germany,Europe,Baden-Baden,Thermal Spas,main area,,6.0,5.0,8.0,5.0,4.0,7.0,5.0,7.0,8.0,Resort/Apartment,Coastal,Relaxation
Morocco,Morocco,Africa,Marrakech,Medina and Souks,main area,133.1,22.4,4.0,4.0,7.0,10.0,9.0,5.0,5.0,8.0,Standard Hotel,Urban-Heritage,Culture
Canada,Canada,North America,Vancouver Island,Coastal Trails,local experience,156.3,5.6,8.0,8.0,5.0,5.0,7.0,8.0,9.0,10.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Japan,Japan,Asia,Kyoto,Zen Gardens,day-trip zone,112.5,12.7,4.0,9.0,6.0,4.0,6.0,4.0,7.0,8.0,Resort/Apartment,Coastal,Relaxation
Spain,Spain,Europe,Andalusia,Sierra Nevada Routes,day-trip zone,148.27,21.2,8.0,6.0,4.0,6.0,6.0,9.0,10.0,8.0,Guesthouse/Hostel,Mountain-Nature,Adventure
India,India,Asia,Goa,Budget Beach Huts,day-trip zone,67.09,25.5,5.0,8.0,6.0,7.0,7.0,6.0,6.0,6.0,Guesthouse/Hostel,Coastal,Budget
Japan,Japan,Asia,Okinawa,Diving Islands,local experience,114.56,16.2,9.0,8.0,4.0,5.0,6.0,8.0,8.0,8.0,Guesthouse/Hostel,Coastal,Adventure
Spain,Spain,Europe,Seville,Alcazar and Flamenco,day-trip zone,166.95,13.6,5.0,,7.0,9.0,8.0,4.0,5.0,8.0,Standard Hotel,Urban-Heritage,Culture
Peru,Peru,South America,Paracas,Coastal Reserve,nearby district,128.26,23.1,4.0,9.0,4.0,5.0,7.0,5.0,7.0,8.0,Resort/Apartment,Coastal,Relaxation
Italy,Italy,Europe,Dolomites,Alpine Hikes,main area,154.75,14.4,9.0,5.0,4.0,5.0,6.0,8.0,10.0,8.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Thailand,Thailand,Asia,Koh Samui,Luxury Villas,nearby district,217.05,27.7,5.0,7.0,9.0,7.0,9.0,6.0,6.0,8.0,Resort/Apartment,Coastal,Luxury
Peru,Peru,South America,Paracas,Boat Wildlife Tours,local experience,126.48,16.0,4.0,7.0,3.0,5.0,7.0,6.0,7.0,8.0,Standard Hotel,Urban-Heritage,Family
Argentina,Argentina,South America,Bariloche,Family Lake Trips,nearby district,154.87,14.8,5.0,7.0,2.0,6.0,7.0,6.0,8.0,7.0,Standard Hotel,Urban-Heritage,Family
France,France,Europe,Chamonix,Mont Blanc Trails,main area,122.16,15.5,8.0,3.0,3.0,7.0,7.0,9.0,8.0,7.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Egypt,Egypt,Africa,Marsa Alam,Resort Coast,local experience,230.48,21.7,5.0,8.0,7.0,7.0,8.0,4.0,8.0,7.0,Resort/Apartment,Coastal,Luxury
Australia,Australia,Oceania,Adelaide,Affordable City Break,day-trip zone,102.74,20.7,6.0,5.0,6.0,8.0,7.0,6.0,6.0,8.0,Guesthouse/Hostel,Urban-Heritage,Budget
Morocco,Morocco,Africa,Essaouira,Affordable Coast,local experience,81.69,24.3,6.0,8.0,7.0,7.0,7.0,6.0,6.0,7.0,Guesthouse/Hostel,Coastal,Budget
India,India,Asia,Varanasi,Ganges Ghats,nearby district,134.09,24.2,3.0,4.0,7.0,9.0,9.0,4.0,4.0,7.0,Standard Hotel,Urban-Heritage,Culture
Greece,Greece,Europe,Rhodes,Old Town and Beaches,nearby district,201.16,17.8,5.0,8.0,5.0,8.0,6.0,5.0,8.0,8.0,Standard Hotel,Coastal,Family
Peru,Peru,South America,Cusco,Family Heritage Tours,nearby district,133.15,15.2,5.0,6.0,3.0,8.0,8.0,6.0,8.0,8.0,Standard Hotel,Urban-Heritage,Family
China,China,Asia,Beijing,Forbidden City,main area,188.22,14.4,3.0,4.0,6.0,8.0,9.0,4.0,5.0,8.0,Standard Hotel,Urban-Heritage,Culture
Mexico,Mexico,North America,Oaxaca,Food and Markets,nearby district,157.72,20.5,3.0,5.0,6.0,9.0,8.0,4.0,5.0,7.0,Standard Hotel,Urban-Heritage,Culture
Greece,Greece,Europe,Athens,Acropolis and Plaka,main area,181.0,17.1,3.0,3.0,6.0,9.0,8.0,5.0,4.0,9.0,Standard Hotel,Urban-Heritage,Culture
France,France,Europe,Marne-la-Vallee,Disneyland Paris,nearby district,147.86,12.8,6.0,6.0,2.0,7.0,6.0,5.0,7.0,8.0,Standard Hotel,Urban-Heritage,Family
Spain,Spain,Europe,Costa del Sol,Resort Coast,nearby district,177.07,18.9,3.0,9.0,5.0,6.0,6.0,6.0,6.0,8.0,Resort/Apartment,Coastal,Relaxation
Canada,Canada,North America,Whistler,Ski Resorts,local experience,285.85,6.8,6.0,5.0,7.0,7.0,9.0,5.0,6.0,9.0,Resort/Apartment,Coastal,Luxury
India,India,Asia,Goa,Beach Villages,main area,131.2,27.2,5.0,9.0,5.0,6.0,6.0,4.0,6.0,6.0,Resort/Apartment,Coastal,Relaxation
New Zealand,New Zealand,Oceania,Rotorua,Premium Spa Lodges,local experience,255.12,13.7,5.0,7.0,8.0,5.0,8.0,4.0,7.0,10.0,Resort/Apartment,Coastal,Luxury
Australia,Australia,Oceania,Cairns,Reef Family Tours,day-trip zone,176.87,20.8,4.0,8.0,4.0,6.0,7.0,5.0,6.0,7.0,Standard Hotel,Coastal,Family
Brazil,Brazil,South America,Salvador,Pelourinho Historic Center,main area,93.47,25.8,3.0,4.0,6.0,9.0,7.0,4.0,6.0,7.0,Standard Hotel,Urban-Heritage,Culture
China,China,Asia,Shanghai,Bund Luxury Hotels,main area,309.28,12.3,5.0,7.0,7.0,7.0,8.0,,7.0,7.0,Resort/Apartment,Coastal,Luxury
Mexico,Mexico,North America,Merida,Budget Heritage Base,day-trip zone,78.28,23.9,5.0,6.0,6.0,8.0,8.0,6.0,7.0,7.0,Guesthouse/Hostel,Urban-Heritage,Budget
Brazil,Brazil,South America,Rio de Janeiro,Copacabana Luxury Hotels,main area,191.31,22.5,4.0,6.0,8.0,9.0,9.0,4.0,4.0,5.0,Resort/Apartment,Coastal,Luxury
Peru,Peru,South America,Cusco,Inca Trail,main area,120.31,15.7,9.0,4.0,4.0,6.0,7.0,9.0,8.0,7.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Vietnam,Vietnam,Asia,Da Nang,Budget Beach Stay,day-trip zone,91.91,25.9,6.0,8.0,5.0,6.0,6.0,6.0,5.0,7.0,Guesthouse/Hostel,Coastal,Budget
China,China,Asia,Zhangjiajie,Avatar Mountains,main area,169.19,11.1,8.0,4.0,4.0,7.0,6.0,9.0,8.0,8.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Canada,Canada,North America,Toronto,Luxury Downtown Hotels,nearby district,270.87,7.5,3.0,6.0,6.0,7.0,7.0,5.0,8.0,10.0,Resort/Apartment,Coastal,Luxury
Egypt,Egypt,Africa,Luxor,Budget Nile Hotels,day-trip zone,79.7,25.9,4.0,5.0,7.0,5.0,7.0,6.0,7.0,6.0,Guesthouse/Hostel,Urban-Heritage,Budget
Argentina,Argentina,South America,Tigre,Delta Boat Escapes,local experience,142.51,13.9,4.0,9.0,5.0,5.0,7.0,5.0,7.0,8.0,Resort/Apartment,Coastal,Relaxation
Kenya,Kenya,Africa,Maasai Mara,Luxury Safari Camps,main area,246.97,17.9,3.0,7.0,9.0,8.0,9.0,5.0,5.0,7.0,Resort/Apartment,Coastal,Luxury
South Africa,South Africa,Africa,Cape Winelands,Wine Estates,main area,159.56,21.1,5.0,8.0,4.0,5.0,8.0,3.0,7.0,5.0,Resort/Apartment,Coastal,Relaxation
China,China,Asia,Beijing,Forbidden City,main area,173.35,8.6,4.0,5.0,7.0,9.0,8.0,5.0,6.0,8.0,Standard Hotel,Urban-Heritage,Culture
Thailand,Thailand,Asia,Chiang Mai,Ethical Elephant Parks,day-trip zone,139.41,27.7,6.0,8.0,3.0,6.0,6.0,6.0,8.0,8.0,Standard Hotel,Mountain-Nature,Family
Greece,Greece,Europe,Rhodes,Island Beaches,local experience,189.23,23.0,6.0,9.0,5.0,7.0,7.0,4.0,6.0,9.0,Resort/Apartment,Coastal,Relaxation
France,France,Europe,Lyon,Old Town and Food,day-trip zone,145.83,14.2,6.0,3.0,5.0,9.0,9.0,6.0,4.0,8.0,Standard Hotel,Urban-Heritage,Culture
Vietnam,Vietnam,Asia,Da Nang,Budget Beach Stay,day-trip zone,96.95,25.9,4.0,8.0,6.0,6.0,6.0,5.0,5.0,6.0,Guesthouse/Hostel,Coastal,Budget
Argentina,Argentina,South America,Salta,Colonial Center,day-trip zone,136.09,18.0,4.0,4.0,5.0,9.0,7.0,3.0,6.0,7.0,Standard Hotel,Urban-Heritage,Culture
South Africa,South Africa,Africa,Johannesburg,Apartheid Museum,nearby district,156.43,12.2,4.0,4.0,6.0,10.0,8.0,3.0,5.0,6.0,Standard Hotel,Urban-Heritage,Culture
Vietnam,Vietnam,Asia,Hanoi,Museums and Food,day-trip zone,132.07,31.0,5.0,7.0,2.0,8.0,7.0,5.0,5.0,8.0,Standard Hotel,Urban-Heritage,Family
France,France,Europe,Corsica,GR20 Sections,day-trip zone,102.04,14.7,9.0,5.0,3.0,6.0,7.0,10.0,8.0,7.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Spain,Spain,Europe,Madrid,Museums and Parks,local experience,169.72,18.8,7.0,7.0,4.0,8.0,7.0,6.0,8.0,9.0,Standard Hotel,Urban-Heritage,Family
Peru,Peru,South America,Cusco,Inca Heritage,main area,114.06,17.2,3.0,4.0,5.0,9.0,9.0,5.0,5.0,6.0,Standard Hotel,Urban-Heritage,Culture
Argentina,Argentina,South America,Mendoza,Aconcagua Foothills,day-trip zone,135.62,17.4,9.0,5.0,3.0,6.0,5.0,8.0,10.0,8.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Thailand,Thailand,Asia,Krabi,Limestone Beaches,day-trip zone,136.07,27.0,4.0,8.0,6.0,5.0,7.0,5.0,7.0,7.0,Resort/Apartment,Coastal,Relaxation
USA,USA,North America,Sedona,Desert Spa Stay,local experience,136.81,16.6,3.0,9.0,4.0,4.0,7.0,5.0,7.0,7.0,Resort/Apartment,Coastal,Relaxation
Germany,Germany,Europe,Leipzig,Affordable Arts Scene,main area,87.43,12.3,5.0,6.0,7.0,6.0,7.0,5.0,7.0,8.0,Guesthouse/Hostel,Urban-Heritage,Budget
Peru,Peru,South America,Lima,Affordable Food Stay,nearby district,69.69,20.3,5.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,Guesthouse/Hostel,Urban-Heritage,Budget
Australia,Australia,Oceania,Sydney,Harbour Culture,nearby district,165.34,19.5,4.0,4.0,5.0,8.0,7.0,5.0,5.0,8.0,Standard Hotel,Urban-Heritage,Culture
Canada,Canada,North America,Montreal,Arts and Food,nearby district,157.66,6.1,5.0,2.0,6.0,10.0,7.0,4.0,5.0,8.0,Standard Hotel,Urban-Heritage,Culture
Vietnam,Vietnam,Asia,Hanoi,Budget Street Food,main area,70.79,24.0,5.0,5.0,5.0,7.0,6.0,4.0,6.0,7.0,Guesthouse/Hostel,Urban-Heritage,Budget
USA,USA,North America,Florida Keys,Tropical Coast,nearby district,139.74,16.8,4.0,8.0,4.0,5.0,7.0,6.0,6.0,8.0,Resort/Apartment,Coastal,Relaxation
Thailand,Thailand,Asia,Sukhothai,Historical Park,local experience,112.82,21.2,6.0,4.0,7.0,8.0,8.0,5.0,8.0,7.0,Standard Hotel,Urban-Heritage,Culture
Morocco,Morocco,Africa,Marrakech,Budget Medina Hostels,nearby district,96.24,22.1,4.0,5.0,6.0,8.0,7.0,6.0,6.0,9.0,Guesthouse/Hostel,Urban-Heritage,Budget
Italy,Italy,Europe,Lake Como,Lakeside Retreat,local experience,174.92,12.7,4.0,8.0,6.0,6.0,6.0,5.0,6.0,7.0,Resort/Apartment,Coastal,Relaxation
Japan,Japan,Asia,Osaka,Affordable Food Districts,main area,78.05,11.7,4.0,5.0,6.0,5.0,8.0,5.0,7.0,10.0,Guesthouse/Hostel,Urban-Heritage,Budget
Canada,Canada,North America,Ottawa,National Museums,local experience,164.89,6.5,3.0,3.0,5.0,9.0,8.0,5.0,6.0,8.0,Standard Hotel,Urban-Heritage,Culture
USA,USA,North America,New Orleans,Music and Food,day-trip zone,145.44,15.8,4.0,5.0,6.0,9.0,9.0,5.0,4.0,,Standard Hotel,Urban-Heritage,Culture
Germany,Germany,Europe,Berchtesgaden,Alpine Lakes,local experience,122.63,10.1,8.0,5.0,5.0,6.0,7.0,9.0,10.0,8.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Egypt,Egypt,Africa,Aswan,Nile Desert Routes,nearby district,106.42,25.8,9.0,3.0,4.0,6.0,7.0,9.0,9.0,7.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Vietnam,Vietnam,Asia,Da Nang,Family Beaches,main area,152.52,26.0,4.0,8.0,3.0,6.0,7.0,5.0,7.0,8.0,Standard Hotel,Coastal,Family
Egypt,Egypt,Africa,Luxor,Budget Nile Hotels,day-trip zone,89.95,22.5,6.0,5.0,7.0,7.0,8.0,4.0,6.0,6.0,Guesthouse/Hostel,Urban-Heritage,Budget
Japan,Japan,Asia,Nara,Ancient Shrines,nearby district,135.46,16.0,4.0,4.0,6.0,9.0,8.0,4.0,5.0,9.0,Standard Hotel,Urban-Heritage,Culture
Morocco,Morocco,Africa,Atlas Mountains,Toubkal Trails,main area,123.52,20.6,9.0,5.0,5.0,6.0,6.0,8.0,8.0,8.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Australia,Australia,Oceania,Melbourne,Hostel Laneways,main area,96.36,22.2,5.0,4.0,5.0,5.0,7.0,6.0,6.0,7.0,Guesthouse/Hostel,Urban-Heritage,Budget
New Zealand,New Zealand,Oceania,Bay of Islands,Luxury Lodges,nearby district,240.38,12.3,4.0,8.0,8.0,7.0,10.0,5.0,7.0,8.0,Resort/Apartment,Coastal,Luxury
Peru,Peru,South America,Lima,Affordable Food Stay,nearby district,74.34,,6.0,5.0,5.0,6.0,8.0,6.0,6.0,8.0,Guesthouse/Hostel,Urban-Heritage,Budget
Germany,Germany,Europe,Black Forest,Forest Hikes,nearby district,112.64,10.3,10.0,3.0,4.0,6.0,7.0,9.0,8.0,8.0,Guesthouse/Hostel,Mountain-Nature,Adventure
New Zealand,New Zealand,Oceania,Rotorua,Maori Culture,nearby district,150.55,15.8,3.0,4.0,7.0,8.0,9.0,5.0,5.0,8.0,Standard Hotel,Urban-Heritage,Culture
Japan,Japan,Asia,Nagano,Japanese Alps,nearby district,105.65,17.8,9.0,4.0,4.0,4.0,7.0,7.0,9.0,9.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Germany,Germany,Europe,Baden-Baden,Thermal Spas,main area,145.45,9.1,5.0,8.0,5.0,5.0,7.0,5.0,8.0,,Resort/Apartment,Coastal,Relaxation
Argentina,Argentina,South America,Tigre,Delta Boat Escapes,local experience,145.99,17.5,3.0,9.0,6.0,5.0,7.0,3.0,6.0,8.0,Resort/Apartment,Coastal,Relaxation
India,India,Asia,Delhi,Historic Monuments,local experience,128.42,23.3,5.0,4.0,,9.0,8.0,4.0,6.0,7.0,Standard Hotel,Urban-Heritage,Culture
South Africa,South Africa,Africa,Knysna,Lagoon Stay,day-trip zone,163.17,15.9,3.0,7.0,5.0,7.0,8.0,3.0,8.0,6.0,Resort/Apartment,Coastal,Relaxation
Egypt,Egypt,Africa,Dahab,Slow Coastal Stay,day-trip zone,130.88,26.7,6.0,9.0,4.0,5.0,7.0,5.0,8.0,6.0,Resort/Apartment,Coastal,Relaxation
Argentina,Argentina,South America,Villa La Angostura,Lakeside Retreat,nearby district,135.85,20.1,6.0,9.0,4.0,7.0,7.0,,7.0,7.0,Resort/Apartment,Coastal,Relaxation
Germany,Germany,Europe,Baden-Baden,Spa Hotels,nearby district,219.43,10.0,3.0,7.0,6.0,7.0,8.0,6.0,7.0,8.0,Resort/Apartment,Coastal,Luxury
India,India,Asia,Rishikesh,Rafting and Yoga,nearby district,116.34,24.8,9.0,5.0,3.0,5.0,7.0,8.0,8.0,7.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Germany,Germany,Europe,Cologne,Cathedral Quarter,local experience,95.61,9.0,4.0,4.0,6.0,10.0,9.0,5.0,4.0,8.0,Standard Hotel,Urban-Heritage,Culture
Germany,Germany,Europe,Munich,Parks and Museums,main area,114.4,8.2,6.0,7.0,3.0,8.0,7.0,5.0,8.0,9.0,Standard Hotel,Urban-Heritage,Family
Morocco,Morocco,Africa,Marrakech,Luxury Riads,main area,247.09,18.7,4.0,8.0,6.0,7.0,8.0,5.0,7.0,9.0,Resort/Apartment,Coastal,Luxury
Italy,Italy,Europe,Turin,Affordable Museums,local experience,112.38,17.0,5.0,6.0,7.0,8.0,7.0,7.0,6.0,8.0,Guesthouse/Hostel,Urban-Heritage,Budget
Brazil,Brazil,South America,Rio de Janeiro,Copacabana Luxury Hotels,main area,189.28,21.8,3.0,6.0,8.0,7.0,8.0,4.0,6.0,6.0,Resort/Apartment,Coastal,Luxury
